W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.22,0.157,0,1446,0,0,0,0,40,1.2,0,0,0,1,-90.6
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.3,100,27,1,-86.4
0.33,0.33,3.45,512,0,0,0,0,0,0.65,0.17,225,13,1,-83.9
0.30044843,0.26,4.02,446,11.2,0,0,0,0,2,0,0,0,1,-81.2
0.5,0.45,5.36,340,11.18,0,0,0,0,1.56,0,0,0,1,-80.3
0.625,0.5,0,972,0,0,0,25,0,0,0,0,0,1,-79.2
0.57,0.392,2.2,638,0,42.85,0,2.85,0,0.39,0,0,0,1,-77.4
0.43,0.3,0,1105,0,42.8,0,0,0,0.42,0.22,100,61,1,-75.7
0.38,0.38,3.69,468,0,0,0,0,0,1,0,125,10,1,-75
0.3,0.27,3.91,446,11.21,0,0,0,0,0,0,0,0,1,-70.3
0.3,0.285,3.73,471,5.31,0,0,0,0,0,0,0,0,1,-69.4
0.3,0.3,2.64,500,0,0,0,0,0,0,0,0,0,1,-68
0.36,0.328,3.82,445,9.89,0,0,0,0,0.85,0,0,0,1,-65
0.416,0.25,1.2,585,25,0,41.6,0,0,1.4,0,0,0,1,-62.4
0.36,0.328,3.82,445,9.89,0,0,0,0,0.85,0,0,0,1,-61.6
0.44,0.157,0,714,0,0,100,0,60,0.8,0,0,0,1,-61.5
0.38,0.38,3.75,455,0,0,0,0,0,7.69,0,0,0,1,-60.9
0.22,0.22,0.4,1446,0,0,0,0,0,1,0,0,0,1,-60.6
0.429,0.3,3.676,408,14.2,28.7,0,0,0,2.1,0,0,0,1,-59.3
0.324,0.3,3.73,472,5.3,0,0,0,0,1.47,0,0,0,1,-58
0.54,0.27,5,311,0,0,100,0,0,2,0,0,0,1,-57.3
0.22,0.175,0.149,1446,0,0,0,0,25,1.2,0,0,0,1,-57.2
0.305,0.28,3.19,531,9.2,0,0,0,0,1.88,0,0,0,1,-56.9
0.342,0.3,3.91,447,11.2,0,0,0,0,1.64,0,0,0,1,-56.4
0.352,0.3,3.08,496,17.74,0,0,0,0,2.5,0,0,0,1,-54.1
0.352,0.3,3.08,496,5.84,11.69,0,0,0,1.9,0,0,0,1,-54.1
0.324,0.3,2.86,540,8.15,0,0,0,0,2.2,0,0,0,1,-52.9
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0.4,100,20,1,-51.4
0.37,0.333,3.87,444,11.04,0,0,0,0,1.5,0,0,0,1,-50.8
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0.6,100,20,1,-50.6
0.37,0.336,3.87,444,10,0,0,0,0,1.5,0,0,0,1,-49.3
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0.2,100,20,1,-49.2
0.26,0.26,3.7,496,0,0,0,0,0,0,0,0,0,1,-47.8
0.387,0.35,3.5,490,11.22,0,0,0,0,1.88,0,0,0,1,-46.3
0.367,0.33,3.867,444,11.03,0,0,0,0,1.5,0,0,0,1,-46.2
0.416,0.25,1.2,585,0,0,66.6,0,0,1.4,0,0,0,1,-46.2
0.352,0.3,3.08,496,0,17.7,0,0,0,1.8,0,0,0,1,-45.2
0.367,0.33,3.86,444,11,0,0,0,0,1.5,0,0,0,1,-43.2
0.35,0.332,3.58,471,5.31,0,0,0,0,0,0,0,0,1,-42.8
0.38,0.352,3.77,453,7.95,0,0,0,0,7.73,0,0,0,1,-41.3
0.3,0.274,3.28,530,9.62,0,0,0,0,1.43,0,0,0,1,-41.3
0.308,0.213,3.14,497,10,0,0,0,34,2.07,0,0,0,1,-41.3
0.35,0.315,3.75,446,11.21,0,0,0,0,0,0,0,0,1,-39.7
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.6,471,15,1,-38.7
0.34,0.34,3.77,453,0,0,0,0,0,7.73,0,0,0,1,-38.3
0.37,0.342,3.72,461,8.1,0,0,0,0,2.58,0,0,0,1,-37.5
0.27,0.27,2.53,622,0,0,0,0,0,2,0,0,0,1,-37.2
0.376,0.35,3.58,473,5.3,0,0,0,0,1.34,0,0,0,1,-37
0.3,0.3,3.6,497,0,0,0,0,0,0,0,0,0,1,-36.9
0.37,0.353,4,430,4.88,0,0,0,0,0.6,0,0,0,1,-36.8
0.26,0.26,3.7,496,0,0,0,0,0,1.81,0,0,0,1,-36
0.33,0.33,3.45,512,0,0,0,0,0,0.7,0,137,20,1,-35.8
0.571,0.4,2.2,642,0,42.85,0,0,0,0.39,0,0,0,1,-35.4
0.33,0.33,3.45,512,0,0,0,0,0,0.65,0.35,225,13,1,-35.4
0.25,0.25,1.2,975,0,0,0,0,0,1.4,0,0,0,1,-35.1
0.37,0.336,4.06,440,10,0,0,0,0,1.02,0,0,0,1,-35
0.28,0.28,2.94,589,0,0,0,0,0,1.1,0,0,0,1,-34.4
0.313,0.25,1.2,780,25,0,0,0,0,1.4,0,0,0,1,-34.4
